      firmi       firmj      Hberg score 
          1           2       0.03040000 
          1           3       0.03300000 
          1           4       0.02850000 
          1           7       0.00230000 
          1           8       0.05060000 
          1           9       0.07080000 
          1          11       0.01860000 
          1          13       0.01050000 
          1          17       0.01760000 
          1          24       0.00020000 
          2           1       0.03040000 
          2           4       0.06390000 
          2           7       0.00300000 
          2           8       0.12390000 
          2          10       0.01340000 
          2          11       0.04930000 
          2          13       0.08650000 
          2          17       0.03970000 
          2          18       0.04580000 
          3           1       0.03300000 
          3           9       0.03610000 
          4           1       0.02850000 
          4           2       0.06390000 
          4           6       0.01470000 
          4           8       0.07890000 
          4           9       0.03520000 
          4          10       0.12300000 
          4          11       0.09510000 
          4          13       0.00630000 
          4          17       0.04920000 
          4          18       0.03150000 
          4          20       0.01530000 
          4          21       0.04430000 
          4          22       0.05190000 
          4          24       0.02580000 
          5          12       0.07940000 
          5          14       0.01500000 
          5          16       0.00060000 
          6           4       0.01470000 
          6           8       0.01170000 
          6          10       0.03530000 
          6          12       0.00570000 
          6          14       0.00570000 
          6          15       0.04830000 
          6          18       0.03310000 
          6          20       0.05480000 
          6          21       0.10840000 
          7           1       0.00230000 
          7           2       0.00300000 
          7          11       0.01570000 
          8           1       0.05060000 
          8           2       0.12390000 
          8           4       0.07890000 
          8           6       0.01170000 
          8           9       0.01010000 
          8          11       0.05260000 
          8          13       0.31800000 
          8          17       0.04190000 
          8          18       0.07900000 
          8          21       0.00050000 
          8          23       0.00490000 
          8          24       0.02360000 
          9           1       0.07080000 
          9           3       0.03610000 
          9           4       0.03520000 
          9           8       0.01010000 
          9          11       0.00430000 
          9          18       0.00720000 
         10           2       0.01340000 
         10           4       0.12300000 
         10           6       0.03530000 
         10          11       0.03020000 
         10          14       0.00200000 
         10          15       0.00600000 
         10          17       0.00180000 
         10          20       0.01440000 
         10          21       0.02040000 
         10          22       0.00040000 
         11           1       0.01860000 
         11           2       0.04930000 
         11           4       0.09510000 
         11           7       0.01570000 
         11           8       0.05260000 
         11           9       0.00430000 
         11          10       0.03020000 
         11          17       0.02550000 
         11          18       0.01490000 
         11          22       0.04200000 
         11          24       0.04320000 
         12           5       0.07940000 
         12           6       0.00570000 
         12          14       0.00650000 
         12          15       0.00820000 
         12          21       0.02540000 
         13           1       0.01050000 
         13           2       0.08650000 
         13           4       0.00630000 
         13           8       0.31800000 
         13          18       0.00800000 
         14           5       0.01500000 
         14           6       0.00570000 
         14          10       0.00200000 
         14          12       0.00650000 
         14          15       0.02590000 
         14          20       0.02760000 
         14          21       0.07080000 
         15           6       0.04830000 
         15          10       0.00600000 
         15          12       0.00820000 
         15          14       0.02590000 
         15          20       0.18350000 
         16           5       0.00060000 
         17           1       0.01760000 
         17           2       0.03970000 
         17           4       0.04920000 
         17           8       0.04190000 
         17          10       0.00180000 
         17          11       0.02550000 
         18           2       0.04580000 
         18           4       0.03150000 
         18           6       0.03310000 
         18           8       0.07900000 
         18           9       0.00720000 
         18          11       0.01490000 
         18          13       0.00800000 
         18          23       0.04100000 
         19          23       0.04440000 
         19          24       0.03550000 
         20           4       0.01530000 
         20           6       0.05480000 
         20          10       0.01440000 
         20          14       0.02760000 
         20          15       0.18350000 
         21           4       0.04430000 
         21           6       0.10840000 
         21           8       0.00050000 
         21          10       0.02040000 
         21          12       0.02540000 
         21          14       0.07080000 
         21          22       0.00330000 
         22           4       0.05190000 
         22          10       0.00040000 
         22          11       0.04200000 
         22          21       0.00330000 
         22          24       0.00990000 
         22          25       0.00930000 
         23           8       0.00490000 
         23          18       0.04100000 
         23          19       0.04440000 
         23          24       0.04340000 
         24           1       0.00020000 
         24           4       0.02580000 
         24           8       0.02360000 
         24          11       0.04320000 
         24          19       0.03550000 
         24          22       0.00990000 
         24          23       0.04340000 
         25          22       0.00930000 

